id;known;name;products;url;sameAs
fr:chocolats-blancs-aux-feves-de-cacao;0;chocolats-blancs-aux-feves-de-cacao;3;https://fr.openfoodfacts.org/categorie/chocolats-blancs-aux-feves-de-cacao;
en:sake;1;Saké;3;https://fr.openfoodfacts.org/categorie/sake;https://www.wikidata.org/wiki/Q170219
fr:spaghetti-au-ble-dur-semi-complet;0;spaghetti-au-ble-dur-semi-complet;3;https://fr.openfoodfacts.org/categorie/spaghetti-au-ble-dur-semi-complet;
fr:papillottes;0;papillottes;3;https://fr.openfoodfacts.org/categorie/papillottes;
fr:waterzooi;0;waterzooi;3;https://fr.openfoodfacts.org/categorie/waterzooi;
fr:fromages-blancs-alleges-en-matiere-grasse;0;fromages-blancs-alleges-en-matiere-grasse;3;https://fr.openfoodfacts.org/categorie/fromages-blancs-alleges-en-matiere-grasse;
de:corned-beef;0;de:corned-beef;3;https://fr.openfoodfacts.org/categorie/de:corned-beef;
fr:sauces-au-vin-blanc;1;Sauces au vin blanc;3;https://fr.openfoodfacts.org/categorie/sauces-au-vin-blanc;
fr:pommes-pink-lady;0;pommes-pink-lady;3;https://fr.openfoodfacts.org/categorie/pommes-pink-lady;
fr:entrecote;0;entrecote;3;https://fr.openfoodfacts.org/categorie/entrecote;
fr:snacks-salees;0;snacks-salees;3;https://fr.openfoodfacts.org/categorie/snacks-salees;
fr:spaghetti-au-quinoa;0;spaghetti-au-quinoa;3;https://fr.openfoodfacts.org/categorie/spaghetti-au-quinoa;
en:pale-ale;0;en:pale-ale;3;https://fr.openfoodfacts.org/categorie/en:pale-ale;
fr:pizzas-aux-fruits-de-mer;0;pizzas-aux-fruits-de-mer;3;https://fr.openfoodfacts.org/categorie/pizzas-aux-fruits-de-mer;
fr:biscuit-petit-dejeuner;0;biscuit-petit-dejeuner;3;https://fr.openfoodfacts.org/categorie/biscuit-petit-dejeuner;
fr:konjac;0;konjac;3;https://fr.openfoodfacts.org/categorie/konjac;
en:olive-oil-from-haute-provence;1;Huile d'olive de Haute-Provence;3;https://fr.openfoodfacts.org/categorie/huile-d-olive-de-haute-provence;
fr:raviolis-a-la-viande-de-porc;0;raviolis-a-la-viande-de-porc;3;https://fr.openfoodfacts.org/categorie/raviolis-a-la-viande-de-porc;
fr:bugey;1;Bugey;3;https://fr.openfoodfacts.org/categorie/bugey;
it:sughi;0;it:sughi;3;https://fr.openfoodfacts.org/categorie/it:sughi;
fr:yaourts-sucres-au-sucre-de-canne;0;yaourts-sucres-au-sucre-de-canne;3;https://fr.openfoodfacts.org/categorie/yaourts-sucres-au-sucre-de-canne;
fr:sundaes;0;sundaes;3;https://fr.openfoodfacts.org/categorie/sundaes;
fr:cotes-d-agneau;0;cotes-d-agneau;3;https://fr.openfoodfacts.org/categorie/cotes-d-agneau;
fr:farfalles-completes;0;farfalles-completes;3;https://fr.openfoodfacts.org/categorie/farfalles-completes;
