id;known;name;products;url;sameAs
en:dietary-supplements;1;Compléments alimentaires;1938;https://fr.openfoodfacts.org/categorie/complements-alimentaires;https://www.wikidata.org/wiki/Q645858
en:fish-preparations;1;Préparations de poisson;1925;https://fr.openfoodfacts.org/categorie/preparations-de-poisson;
en:spices;1;Epices;1915;https://fr.openfoodfacts.org/categorie/epices;https://www.wikidata.org/wiki/Q42527
en:pickles;1;Pickles;1910;https://fr.openfoodfacts.org/categorie/pickles;
en:pasteurized-cheeses;1;Fromages pasteurisés;1890;https://fr.openfoodfacts.org/categorie/fromages-pasteurises;
en:foies-gras-from-ducks;1;Foies gras de canard;1888;https://fr.openfoodfacts.org/categorie/foies-gras-de-canard;
en:pies;1;Tartes;1885;https://fr.openfoodfacts.org/categorie/tartes;https://www.wikidata.org/wiki/Q1142483
en:uncooked-pressed-cheeses;1;Fromages à pâte pressée non cuite;1884;https://fr.openfoodfacts.org/categorie/fromages-a-pate-pressee-non-cuite;https://www.wikidata.org/wiki/Q2213488
en:spreadable-fats;1;Matières grasses à tartiner;1871;https://fr.openfoodfacts.org/categorie/matieres-grasses-a-tartiner;
en:plant-based-pickles;1;Pickles d'origine végétale;1859;https://fr.openfoodfacts.org/categorie/pickles-d-origine-vegetale;
en:tomato-sauces;1;Sauces tomate;1828;https://fr.openfoodfacts.org/categorie/sauces-tomate;https://www.wikidata.org/wiki/Q3596097
en:dry-pasta;1;Pâtes sèches;1822;https://fr.openfoodfacts.org/categorie/pates-seches;
en:salmons;1;Saumons;1820;https://fr.openfoodfacts.org/categorie/saumons;
fr:comte;1;Comté;1805;https://fr.openfoodfacts.org/categorie/comte;https://www.wikidata.org/wiki/Q249310
en:brioches;1;Brioches;1796;https://fr.openfoodfacts.org/categorie/brioches;https://www.wikidata.org/wiki/Q917574
en:prepared-vegetables;1;Légumes préparés;1774;https://fr.openfoodfacts.org/categorie/legumes-prepares;
en:tunas;1;Thons;1771;https://fr.openfoodfacts.org/categorie/thons;https://www.wikidata.org/wiki/Q2346039
en:crackers;1;Biscuits apéritifs;1766;https://fr.openfoodfacts.org/categorie/biscuits-aperitifs;
en:baby-foods;1;Aliments pour bébé;1747;https://fr.openfoodfacts.org/categorie/aliments-pour-bebe;https://www.wikidata.org/wiki/Q797971
fr:charcuteries-diverses;1;Charcuteries diverses;1730;https://fr.openfoodfacts.org/categorie/charcuteries-diverses;
en:christmas-foods-and-drinks;1;Aliments et boissons de Noël;1697;https://fr.openfoodfacts.org/categorie/aliments-et-boissons-de-noel;https://www.wikidata.org/wiki/Q5876127
en:french-sausages;1;Saucisses françaises;1684;https://fr.openfoodfacts.org/categorie/saucisses-francaises;
en:flavoured-syrups;1;Sirops aromatisés;1683;https://fr.openfoodfacts.org/categorie/sirops-aromatises;https://www.wikidata.org/wiki/Q5458204
en:artificially-sweetened-beverages;1;Boissons édulcorées;1683;https://fr.openfoodfacts.org/categorie/boissons-edulcorees;
en:extra-virgin-olive-oils;1;Huiles d'olive vierges extra;1680;https://fr.openfoodfacts.org/categorie/huiles-d-olive-vierges-extra;
en:refrigerated-foods;1;Réfrigérés;1669;https://fr.openfoodfacts.org/categorie/refrigeres;
en:non-alcoholic-beverages;1;Boissons sans alcool;1651;https://fr.openfoodfacts.org/categorie/boissons-sans-alcool;
en:sandwiches;1;Sandwichs;1641;https://fr.openfoodfacts.org/categorie/sandwichs;https://www.wikidata.org/wiki/Q28803
en:pizzas;1;Pizzas;1632;https://fr.openfoodfacts.org/categorie/pizzas;https://www.wikidata.org/wiki/Q177
en:italian-cheeses;1;Fromages italiens;1630;https://fr.openfoodfacts.org/categorie/fromages-italiens;
